ezloophw-py logger started on:,2023-4-5_103045
ctrl_params:,{'duty_min': -0.8, 'duty_max': 0.8, 'ctrl_period': 200, 'numsteps': 100.0, 'kp': [0.008, 0.008], 'ki': [5e-08, 5e-08], 'kw': [0.0, 0.0], 'setpoint': [0.0, 0.0], 'u_setpoint': [0.0, 0.0], 'supervisor_gamma': [0.2, 0.2], 'temp_constraint': [115.0, 115.0], 'temp_control_mode': 'closeloop', 'trajfilepath': None, 'read_traj': False, 'read_u_traj': True, 'u_trajfilepath': './input_traj/2_limb_control_input/test_sma1_limb1.csv', 'n_limb': 2}
Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
37947011,97.861000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.61524597043505,52.836417087566566,110.72595724294113,69.22598412085112,169.72002667487953,95.83568461820289,224.39013871002481,130.52078683144669,282.77877416318194,175.5390343730673,342.1874755321564,225.61811285906293,392.8511744256086,267.45360773578193,433.7192911884852,305.2631208282533,478.4251716037077,344.21529795555546
37947211,98.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.55983726937762,52.77116808741952,110.69815567728722,69.21949009119898,169.68271485631632,95.8573271273568,224.348940509519,130.5170296614235,282.84913570587344,175.60444725833983,342.16609293292396,225.664232172259,392.734227142403,267.53614561245513,433.622596492824,305.33212473170727,478.3628737750846,344.271121454408
37947412,98.261000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.60246874427583,52.82565088044356,110.6945272449336,69.27946690503063,169.6621106161942,95.93794061984096,224.34958867497747,130.57346359536413,282.8415524138683,175.6615400370335,342.1391134700507,225.70782450341073,392.74821016499004,267.54812638337256,433.638952563126,305.3204392092243,478.3864460967069,344.2628333047642
37947611,98.462000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.06,22.25,34.574028248920996,52.86860235615334,110.61538862194955,69.38127974347275,169.62397919832543,95.98330012853692,224.36161045407906,130.66121576351617,282.88349311386884,175.72206751962224,342.20039833092443,225.71992578071297,392.8206655073887,267.5846804980626,433.6914658615281,305.3352812967294,478.4528360840134,344.2542462734199
37947811,98.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.06,22.25,34.44608534163164,52.836020103267685,110.65590382705857,69.21092666907434,169.6812882221003,95.86408064039001,224.3958491155341,130.5442920242458,282.8602605535313,175.66545173844298,342.1796459284776,225.7230928030091,392.7967052221964,267.5829165111123,433.652605993221,305.4118233537832,478.4021455972031,344.34403533678153
37948012,98.861000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.06,22.25,34.42691005822345,52.81986744993881,110.61781599205649,69.22079682439667,169.67490552580452,95.85649460678401,224.33018528904856,130.5618333733651,282.82760061271216,175.74562622837712,342.16814190490487,225.76095516151912,392.79667362312836,267.62276570448785,433.5883779811121,305.43328108718754,478.36879380871807,344.35511841055313
37948211,99.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.55539660846534,52.88339522678347,110.65789864461176,69.30602465756188,169.6563398087396,95.94240528615538,224.36220822244854,130.60945092808956,282.85480064055326,175.75251903331826,342.1873298206842,225.74664475384503,392.8086889036164,267.5817891407283,433.6797076104625,305.33341146844225,478.44752838525284,344.2794197187004
37948411,99.261000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.44,21.5,22.13,22.25,34.59589896440911,52.91269868670032,110.62185719732399,69.38862012080737,169.59601310182993,95.91949043094513,224.42580522240658,130.63564449438437,282.8505076791401,175.79689315980656,342.1913750620085,225.75791315407693,392.8202912094608,267.5740111422873,433.665378818732,305.2919116496643,478.4394933643923,344.26796637487706
37948611,99.462000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.38,21.5,22.13,22.25,34.649203302126054,52.812582032884585,110.67451951710626,69.25706659739082,169.72528756762395,95.82400169568704,224.38146011384802,130.51682027810344,282.76552082640615,175.54272073951577,342.1538265234045,225.59130574997175,392.79650669687686,267.4811167954396,433.63658177406586,305.25971352858136,478.42289985562365,344.17706993194264
37948811,99.663000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,23.38,21.5,22.13,22.25,34.60607929109539,52.88776415638419,110.61371525683096,69.36113925509822,169.62671865608425,95.89740122865909,224.36299576562675,130.60804550887488,282.8364934196733,175.79074631058606,342.18849130122396,225.71451823464156,392.7958999538419,267.5623925471301,433.67451505580146,305.3267323902495,478.41851145318685,344.23972098726614
